Entity,Day,"Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned)"
Canada,2020-01-09,0
Canada,2020-01-10,0
Canada,2020-01-11,0
Canada,2020-01-12,0
Canada,2020-01-13,0
Canada,2020-01-14,0
Canada,2020-01-15,0
Canada,2020-01-16,0
Canada,2020-01-17,0
Canada,2020-01-18,0
Canada,2020-01-19,0
Canada,2020-01-20,0
Canada,2020-01-21,0
Canada,2020-01-22,0
Canada,2020-01-23,0
Canada,2020-01-24,0
Canada,2020-01-25,0
Canada,2020-01-26,0
Canada,2020-01-27,0
Canada,2020-01-28,0
Canada,2020-01-29,0
Canada,2020-01-30,0
Canada,2020-01-31,0
Canada,2020-02-01,0
Canada,2020-02-02,0
Canada,2020-02-03,0
Canada,2020-02-04,0
Canada,2020-02-05,0
Canada,2020-02-06,0
Canada,2020-02-07,0
Canada,2020-02-08,0
Canada,2020-02-09,0
Canada,2020-02-10,0
Canada,2020-02-11,0
Canada,2020-02-12,0
Canada,2020-02-13,0
Canada,2020-02-14,0
Canada,2020-02-15,0
Canada,2020-02-16,0
Canada,2020-02-17,0
Canada,2020-02-18,0
Canada,2020-02-19,0
Canada,2020-02-20,0
Canada,2020-02-21,0
Canada,2020-02-22,0
Canada,2020-02-23,0
Canada,2020-02-24,0
Canada,2020-02-25,0
Canada,2020-02-26,0
Canada,2020-02-27,0
Canada,2020-02-28,0
Canada,2020-02-29,0
Canada,2020-03-01,0
Canada,2020-03-02,0
Canada,2020-03-03,0
Canada,2020-03-04,0
Canada,2020-03-05,0
Canada,2020-03-06,0
Canada,2020-03-07,0
Canada,2020-03-08,0
Canada,2020-03-09,0
Canada,2020-03-10,0.0036798737
Canada,2020-03-11,0.0036798737
Canada,2020-03-12,0.0036798737
Canada,2020-03-13,0.0036798737
Canada,2020-03-14,0.0036798737
Canada,2020-03-15,0.0036798737
Canada,2020-03-16,0.0036798737
Canada,2020-03-17,0
Canada,2020-03-18,0.011039621
Canada,2020-03-19,0.022079242
Canada,2020-03-20,0.025759116
Canada,2020-03-21,0.033118863
Canada,2020-03-22,0.036798738
Canada,2020-03-23,0.05151823
Canada,2020-03-24,0.05151823
Canada,2020-03-25,0.05151823
Canada,2020-03-26,0.044158485
Canada,2020-03-27,0.05151823
Canada,2020-03-28,0.05151823
Canada,2020-03-29,0.08831697
Canada,2020-03-30,0.09567671
Canada,2020-03-31,0.099356584
Canada,2020-04-01,0.1398352
Canada,2020-04-02,0.16191444
Canada,2020-04-03,0.18399368
Canada,2020-04-04,0.4195056
Canada,2020-04-05,0.5593408
Canada,2020-04-06,0.699176
Canada,2020-04-07,0.8758099
Canada,2020-04-08,0.98252624
Canada,2020-04-09,1.16284
Canada,2020-04-10,1.3321142
Canada,2020-04-11,1.3615532
Canada,2020-04-12,1.4020319
Canada,2020-04-13,1.5492268
Canada,2020-04-14,1.604425
Canada,2020-04-15,1.6780224
Canada,2020-04-16,1.9245739
Canada,2020-04-17,2.1159272
Canada,2020-04-18,2.5133536
Canada,2020-04-19,2.7157466
Canada,2020-04-20,2.9880574
Canada,2020-04-21,3.1683712
Canada,2020-04-22,3.3413253
Canada,2020-04-23,3.4186027
Canada,2020-04-24,3.5400383
Canada,2020-04-25,3.5032396
Canada,2020-04-26,3.6541145
Canada,2020-04-27,3.668834
Canada,2020-04-28,3.5989163
Canada,2020-04-29,3.731392
Canada,2020-04-30,3.7608309
Canada,2020-05-01,3.7497911
Canada,2020-05-02,3.8013093
Canada,2020-05-03,3.9853032
Canada,2020-05-04,4.0294614
Canada,2020-05-05,4.106739
Canada,2020-05-06,4.2024155
Canada,2020-05-07,4.3348913
Canada,2020-05-08,4.5262446
Canada,2020-05-09,4.485766
Canada,2020-05-10,4.320172
Canada,2020-05-11,4.1324983
Canada,2020-05-12,4.3643303
Canada,2020-05-13,4.1803365
Canada,2020-05-14,4.136178
Canada,2020-05-15,3.930105
Canada,2020-05-16,3.904346
Canada,2020-05-17,3.643075
Canada,2020-05-18,3.6209958
Canada,2020-05-19,3.345005
Canada,2020-05-20,3.116853
Canada,2020-05-21,2.7231064
Canada,2020-05-22,2.6679084
Canada,2020-05-23,2.498634
Canada,2020-05-24,2.5243933
Canada,2020-05-25,2.472875
Canada,2020-05-26,2.3477595
Canada,2020-05-27,2.5722318
Canada,2020-05-28,2.6642284
Canada,2020-05-29,2.6936674
Canada,2020-05-30,2.6568687
Canada,2020-05-31,2.6752682
Canada,2020-06-01,2.6421492
Canada,2020-06-02,3.20517
Canada,2020-06-03,2.8739812
Canada,2020-06-04,2.7819846
Canada,2020-06-05,2.6973474
Canada,2020-06-06,2.796704
Canada,2020-06-07,2.6642284
Canada,2020-06-08,2.564872
Canada,2020-06-09,1.8436167
Canada,2020-06-10,1.8583362
Canada,2020-06-11,1.8252174
Canada,2020-06-12,1.6743425
Canada,2020-06-13,1.2916356
Canada,2020-06-14,1.2437973
Canada,2020-06-15,1.2106785
Canada,2020-06-16,1.2585168
Canada,2020-06-17,1.2364376
Canada,2020-06-18,1.1554803
Canada,2020-06-19,1.078203
Canada,2020-06-20,1.1186816
Canada,2020-06-21,1.0929224
Canada,2020-06-22,1.1113218
Canada,2020-06-23,1.0303646
Canada,2020-06-24,0.9457275
Canada,2020-06-25,0.87213004
Canada,2020-06-26,0.8279716
Canada,2020-06-27,0.73229486
Canada,2020-06-28,0.57774013
Canada,2020-06-29,0.37166724
Canada,2020-06-30,0.33118862
Canada,2020-07-01,0.47102383
Canada,2020-07-02,0.49310306
Canada,2020-07-03,0.39742634
Canada,2020-07-04,0.49678293
Canada,2020-07-05,0.5593408
Canada,2020-07-06,0.57406026
Canada,2020-07-07,0.5887798
Canada,2020-07-08,0.4599842
Canada,2020-07-09,0.43790495
Canada,2020-07-10,0.52254206
Canada,2020-07-11,0.3900666
Canada,2020-07-12,0.35326788
Canada,2020-07-13,0.3643075
Canada,2020-07-14,0.3643075
Canada,2020-07-15,0.35326788
Canada,2020-07-16,0.31646913
Canada,2020-07-17,0.2649509
Canada,2020-07-18,0.28703013
Canada,2020-07-19,0.29071
Canada,2020-07-20,0.27231064
Canada,2020-07-21,0.25023142
Canada,2020-07-22,0.25023142
Canada,2020-07-23,0.23551191
Canada,2020-07-24,0.22079241
Canada,2020-07-25,0.17295405
Canada,2020-07-26,0.1545547
Canada,2020-07-27,0.13615532
Canada,2020-07-28,0.13615532
Canada,2020-07-29,0.1545547
Canada,2020-07-30,0.18031381
Canada,2020-07-31,0.17663394
Canada,2020-08-01,0.19871317
Canada,2020-08-02,0.1950333
Canada,2020-08-03,0.20239305
Canada,2020-08-04,0.20239305
Canada,2020-08-05,0.16927418
Canada,2020-08-06,0.16927418
Canada,2020-08-07,0.15823457
Canada,2020-08-08,0.13615532
Canada,2020-08-09,0.12879558
Canada,2020-08-10,0.12879558
Canada,2020-08-11,0.13247545
Canada,2020-08-12,0.14719495
Canada,2020-08-13,0.12143583
Canada,2020-08-14,0.16191444
Canada,2020-08-15,0.18031381
Canada,2020-08-16,0.18399368
Canada,2020-08-17,0.17663394
Canada,2020-08-18,0.16559431
Canada,2020-08-19,0.16559431
Canada,2020-08-20,0.19871317
Canada,2020-08-21,0.16191444
Canada,2020-08-22,0.14351507
Canada,2020-08-23,0.16191444
Canada,2020-08-24,0.17295405
Canada,2020-08-25,0.17295405
Canada,2020-08-26,0.18767355
Canada,2020-08-27,0.16559431
Canada,2020-08-28,0.16191444
Canada,2020-08-29,0.17663394
Canada,2020-08-30,0.18031381
Canada,2020-08-31,0.1545547
Canada,2020-09-01,0.16191444
Canada,2020-09-02,0.15823457
Canada,2020-09-03,0.1545547
Canada,2020-09-04,0.15087482
Canada,2020-09-05,0.14351507
Canada,2020-09-06,0.106716335
Canada,2020-09-07,0.114076085
Canada,2020-09-08,0.10303646
Canada,2020-09-09,0.073597476
Canada,2020-09-10,0.07727735
Canada,2020-09-11,0.073597476
Canada,2020-09-12,0.08095722
Canada,2020-09-13,0.08095722
Canada,2020-09-14,0.09567671
Canada,2020-09-15,0.09567671
Canada,2020-09-16,0.12143583
Canada,2020-09-17,0.12879558
Canada,2020-09-18,0.1398352
Canada,2020-09-19,0.13615532
Canada,2020-09-20,0.15087482
Canada,2020-09-21,0.15087482
Canada,2020-09-22,0.16927418
Canada,2020-09-23,0.18031381
Canada,2020-09-24,0.16927418
Canada,2020-09-25,0.18399368
Canada,2020-09-26,0.18031381
Canada,2020-09-27,0.18399368
Canada,2020-09-28,0.18767355
Canada,2020-09-29,0.18399368
Canada,2020-09-30,0.18031381
Canada,2020-10-01,0.20607293
Canada,2020-10-02,0.1950333
Canada,2020-10-03,0.2539113
Canada,2020-10-04,0.56302065
Canada,2020-10-05,0.73229486
Canada,2020-10-06,0.78381306
Canada,2020-10-07,0.83165145
Canada,2020-10-08,0.8794898
Canada,2020-10-09,0.89788914
Canada,2020-10-10,0.8647703
Canada,2020-10-11,0.6439779
Canada,2020-10-12,0.5335817
Canada,2020-10-13,0.48206344
Canada,2020-10-14,0.45630434
Canada,2020-10-15,0.44894457
Canada,2020-10-16,0.4452647
Canada,2020-10-17,0.52622193
Canada,2020-10-18,0.50046283
Canada,2020-10-19,0.50046283
Canada,2020-10-20,0.5335817
Canada,2020-10-21,0.5409414
Canada,2020-10-22,0.5078226
Canada,2020-10-23,0.5998194
Canada,2020-10-24,0.5924597
Canada,2020-10-25,0.5998194
Canada,2020-10-26,0.63293827
Canada,2020-10-27,0.6660571
Canada,2020-10-28,0.699176
Canada,2020-10-29,0.74701434
Canada,2020-10-30,0.72125524
Canada,2020-10-31,0.7543741
Canada,2020-11-01,0.7948527
Canada,2020-11-02,0.7690936
Canada,2020-11-03,0.8390112
Canada,2020-11-04,0.8353313
Canada,2020-11-05,0.99356586
Canada,2020-11-06,1.1002822
Canada,2020-11-07,1.1113218
Canada,2020-11-08,1.1775596
Canada,2020-11-09,1.2842759
Canada,2020-11-10,1.2437973
Canada,2020-11-11,1.3026752
Canada,2020-11-12,1.2916356
